,n_neighbors,mean_fit_time,mean_score_time,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
2,5,0.018064260482788086,0.020385026931762695,-40.02054285714286,0.0,-113.4735,0.0,1
1,2,0.021340131759643555,0.017708539962768555,-21.586785714285714,0.0,-117.70625,0.0,2
3,10,0.03657031059265137,0.04813957214355469,-50.10731428571428,0.0,-119.33595000000001,0.0,3
4,15,0.017221450805664062,0.015312433242797852,-53.28537142857142,0.0,-121.93220000000001,0.0,4
5,20,0.013245582580566406,0.013566732406616211,-57.15134285714286,0.0,-123.651125,0.0,5
6,30,0.018331289291381836,0.021173954010009766,-62.0074,0.0,-124.5623,0.0,6
0,1,0.046187400817871094,0.04913926124572754,0.0,0.0,-126.1505,0.0,7
7,40,0.021805524826049805,0.05767703056335449,-63.97772499999999,0.0,-126.3153875,0.0,8
8,50,0.011445760726928711,0.016546249389648438,-65.33326571428572,0.0,-126.56642,0.0,9
