,criterion,max_depth,max_features,max_leaf_nodes,n_estimators,mean_fit_time,mean_score_time,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
617,mae,40,,200.0,25,1.0898997783660889,0.008027791976928711,-3.5140228571428556,0.0,-17.330090000000002,0.0,1
497,mae,20,,200.0,25,1.1388287544250488,0.008078813552856445,-3.520137142857141,0.0,-17.330090000000002,0.0,1
677,mae,50,,200.0,25,1.0941534042358398,0.006239175796508789,-3.5140228571428556,0.0,-17.330090000000002,0.0,1
557,mae,30,,200.0,25,1.0956482887268066,0.008011579513549805,-3.5140228571428556,0.0,-17.330090000000002,0.0,1
437,mae,10,,200.0,25,1.1137664318084717,0.008116483688354492,-3.7784799999999996,0.0,-17.426689999999997,0.0,5
673,mae,50,,100.0,25,1.1159179210662842,0.012956619262695312,-4.507968571428571,0.0,-17.46534,0.0,6
613,mae,40,,100.0,25,1.0417616367340088,0.012146234512329102,-4.507968571428571,0.0,-17.46534,0.0,6
553,mae,30,,100.0,25,1.0211718082427979,0.008035421371459961,-4.507968571428571,0.0,-17.46534,0.0,6
493,mae,20,,100.0,25,1.1233389377593994,0.008037567138671875,-4.507968571428571,0.0,-17.46534,0.0,6
433,mae,10,,100.0,25,2.2762229442596436,0.021778345108032227,-4.560894285714286,0.0,-17.484,0.0,10
618,mae,40,,200.0,50,2.1957740783691406,0.012034416198730469,-3.4250914285714296,0.0,-17.570594999999997,0.0,11
498,mae,20,,200.0,50,2.223958730697632,0.016071081161499023,-3.427720000000001,0.0,-17.570594999999997,0.0,11
558,mae,30,,200.0,50,2.234208822250366,0.026477813720703125,-3.4250914285714296,0.0,-17.570594999999997,0.0,11
678,mae,50,,200.0,50,2.264174461364746,0.012380838394165039,-3.4250914285714296,0.0,-17.570594999999997,0.0,11
438,mae,10,,200.0,50,2.2107229232788086,0.0160367488861084,-3.7113914285714293,0.0,-17.650325000000002,0.0,15
494,mae,20,,100.0,50,2.030168294906616,0.012158870697021484,-4.388057142857143,0.0,-17.70548,0.0,16
674,mae,50,,100.0,50,2.2381434440612793,0.01605701446533203,-4.388057142857143,0.0,-17.70548,0.0,16
554,mae,30,,100.0,50,2.033174514770508,0.01453542709350586,-4.388057142857143,0.0,-17.70548,0.0,16
614,mae,40,,100.0,50,2.081545829772949,0.016310691833496094,-4.388057142857143,0.0,-17.70548,0.0,16
434,mae,10,,100.0,50,4.685489654541016,0.0351252555847168,-4.446161428571429,0.0,-17.737745,0.0,20
549,mae,30,,50.0,25,0.9338533878326416,0.008967876434326172,-6.242211428571428,0.0,-17.753980000000002,0.0,21
429,mae,10,,50.0,25,2.1116960048675537,0.02220940589904785,-6.242211428571428,0.0,-17.753980000000002,0.0,21
609,mae,40,,50.0,25,1.0768778324127197,0.010235786437988281,-6.242211428571428,0.0,-17.753980000000002,0.0,21
489,mae,20,,50.0,25,1.0414276123046875,0.010644197463989258,-6.242211428571428,0.0,-17.753980000000002,0.0,21
669,mae,50,,50.0,25,1.0864872932434082,0.009127378463745117,-6.242211428571428,0.0,-17.753980000000002,0.0,21
420,mae,10,,,10,0.9854710102081299,0.01922297477722168,-3.8688357142857144,0.0,-17.765725000000003,0.0,26
377,mae,5,,200.0,25,1.6293678283691406,0.020912885665893555,-8.367377142857144,0.0,-17.837190000000003,0.0,27
369,mae,5,,50.0,25,1.7242348194122314,0.020005464553833008,-8.367377142857144,0.0,-17.837190000000003,0.0,27
373,mae,5,,100.0,25,1.7713303565979004,0.02057194709777832,-8.367377142857144,0.0,-17.837190000000003,0.0,27
422,mae,10,,,50,4.324256896972656,0.04822230339050293,-3.686247142857145,0.0,-17.901284999999998,0.0,30
421,mae,10,,,25,2.3296995162963867,0.020000457763671875,-3.6827371428571425,0.0,-18.00134,0.0,31
430,mae,10,,50.0,50,4.186323642730713,0.032149314880371094,-6.12156,0.0,-18.00448,0.0,32
610,mae,40,,50.0,50,1.879032850265503,0.012246370315551758,-6.121248571428571,0.0,-18.00648,0.0,33
490,mae,20,,50.0,50,1.8841252326965332,0.012046098709106445,-6.121248571428571,0.0,-18.00648,0.0,33
550,mae,30,,50.0,50,1.8576915264129639,0.009147405624389648,-6.121248571428571,0.0,-18.00648,0.0,33
670,mae,50,,50.0,50,1.8492095470428467,0.013333559036254883,-6.121248571428571,0.0,-18.00648,0.0,33
256,mse,40,,200.0,10,0.08693838119506836,0.007210731506347656,-3.5560107477256655,0.0,-18.042549331224333,0.0,37
316,mse,50,,200.0,10,0.18375658988952637,0.014997482299804688,-3.5560107477256655,0.0,-18.042549331224333,0.0,37
136,mse,20,,200.0,10,0.07931828498840332,0.008092641830444336,-3.5560107477256655,0.0,-18.042549331224333,0.0,37
196,mse,30,,200.0,10,0.07904863357543945,0.008191823959350586,-3.5560107477256655,0.0,-18.042549331224333,0.0,37
132,mse,20,,100.0,10,0.09941482543945312,0.008020162582397461,-4.408508003963885,0.0,-18.049053539007417,0.0,41
252,mse,40,,100.0,10,0.16951417922973633,0.012000083923339844,-4.408508003963885,0.0,-18.049053539007417,0.0,41
312,mse,50,,100.0,10,0.17642998695373535,0.012007713317871094,-4.408508003963885,0.0,-18.049053539007417,0.0,41
192,mse,30,,100.0,10,0.07388949394226074,0.0040547847747802734,-4.408508003963885,0.0,-18.049053539007417,0.0,41
423,mae,10,,,100,9.916213035583496,0.049957990646362305,-3.6012978571428564,0.0,-18.052125000000004,0.0,45
602,mae,40,,,50,2.3202130794525146,0.016097545623779297,-3.266425714285715,0.0,-18.058239999999998,0.0,46
662,mae,50,,,50,2.320058584213257,0.016185522079467773,-3.266425714285715,0.0,-18.058239999999998,0.0,46
542,mae,30,,,50,2.4591307640075684,0.015178203582763672,-3.266425714285715,0.0,-18.058239999999998,0.0,46
72,mse,10,,100.0,10,0.07490801811218262,0.005861520767211914,-4.392776962332809,0.0,-18.078709753894312,0.0,49
76,mse,10,,200.0,10,0.07841300964355469,0.008080244064331055,-3.63214376921616,0.0,-18.089062631305165,0.0,50
482,mae,20,,,50,2.429835796356201,0.01606273651123047,-3.263002857142857,0.0,-18.102849999999993,0.0,51
480,mae,20,,,10,0.5319175720214844,0.009058475494384766,-3.7298857142857145,0.0,-18.10445,0.0,52
481,mae,20,,,25,1.149144172668457,0.012046337127685547,-3.321102857142857,0.0,-18.15994,0.0,53
601,mae,40,,,25,1.1189069747924805,0.008043050765991211,-3.3198628571428563,0.0,-18.173679999999997,0.0,54
541,mae,30,,,25,1.3891775608062744,0.008019447326660156,-3.3198628571428563,0.0,-18.173679999999997,0.0,54
661,mae,50,,,25,1.14091157913208,0.012052297592163086,-3.3198628571428563,0.0,-18.173679999999997,0.0,54
540,mae,30,,,10,0.4835360050201416,0.009450197219848633,-3.687471428571428,0.0,-18.17545,0.0,57
660,mae,50,,,10,0.46131229400634766,0.006214141845703125,-3.687471428571428,0.0,-18.17545,0.0,57
600,mae,40,,,10,0.4447593688964844,0.008020401000976562,-3.687471428571428,0.0,-18.17545,0.0,57
365,mae,5,,25.0,25,1.7139794826507568,0.02001047134399414,-8.825380000000001,0.0,-18.19268,0.0,60
368,mae,5,,50.0,10,0.685030460357666,0.016000986099243164,-8.656814285714287,0.0,-18.19745,0.0,61
376,mae,5,,200.0,10,0.7170844078063965,0.015551567077636719,-8.656814285714287,0.0,-18.19745,0.0,61
372,mae,5,,100.0,10,0.7011566162109375,0.016278505325317383,-8.656814285714287,0.0,-18.19745,0.0,61
543,mae,30,,,100,4.629303693771362,0.03613877296447754,-3.267472857142857,0.0,-18.205920000000006,0.0,64
603,mae,40,,,100,4.621575832366943,0.02215743064880371,-3.267472857142857,0.0,-18.205920000000006,0.0,64
663,mae,50,,,100,4.9130730628967285,0.02005743980407715,-3.267472857142857,0.0,-18.205920000000006,0.0,64
619,mae,40,,200.0,100,4.580076694488525,0.024072885513305664,-3.4295885714285705,0.0,-18.232250000000008,0.0,67
559,mae,30,,200.0,100,4.433075428009033,0.021315336227416992,-3.4295885714285705,0.0,-18.232250000000008,0.0,67
679,mae,50,,200.0,100,4.520503044128418,0.031209945678710938,-3.4295885714285705,0.0,-18.232250000000008,0.0,67
